timeStep,q_mean,Sq_mean,Sq_mean_norm,phi,chi_4,temp,damp,N_heat,N_isothermal
1.389e8,0.0,0.0,0.0,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,0.21880726803532513,8.398362234806227,0.9975459290085267,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,0.3747669072067089,6.952755244858281,0.8623799210405988,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,0.5318863833776222,4.729875140735141,0.5985553044320071,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,0.6961717028486047,3.2522093086869366,0.4074328930371001,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,0.8548049667437518,2.6697729183576207,0.33525516409490086,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.003104855718448,2.2677802881627684,0.285573797409247,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.1521226635989714,1.988715238557031,0.2500590216009253,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.3073825505704653,1.70004624197645,0.21489308206310365,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.4636519500583907,1.6243310213734992,0.20420253009105835,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.6175182514920998,1.45925851278117,0.18275723869249902,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.769629374296353,1.3405175477347215,0.16765641417859545,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,1.9265539102664264,1.3092134633849968,0.16470396366918796,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,2.085672817007156,1.1746631628941548,0.14638473324822865,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,2.2402992196314835,1.1325834611886625,0.14298202626571133,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,2.3918607759554757,1.0566175031964515,0.13327925916524072,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,2.5445374825749694,1.0197033757148857,0.12785703558085978,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,2.6988060807693874,0.9521550240541541,0.11890231741138879,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,2.853932498022398,0.9183106269793786,0.11514142595651533,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.009064210489927,0.8802110561831734,0.11070214270746881,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.1642303569594774,0.8390353596558194,0.10501657681355954,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.318283259274186,0.7861990593560555,0.09844751241448857,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.4722171256532746,0.7666230246804226,0.09624672679362556,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.62740054653879,0.7231579445397077,0.09059698535501619,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.781335212160716,0.7048164253168189,0.08816545721840796,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,3.935887345386505,0.6755515121969337,0.08488496053253568,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,4.092862767439631,0.6669270489204037,0.08393396147648217,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,4.248134733469396,0.6387765208162963,0.08027359693181148,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,4.401720146007895,0.6283425684936331,0.0788163281429094,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,4.555944085119298,0.6283067547871743,0.0785826941547757,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,4.708513889603124,0.6276333213607508,0.07865280109374934,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,4.862920635809377,0.6305346652078958,0.0788824886330985,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.018264805612903,0.6464522501353452,0.08116160878039479,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.173278090518665,0.6735551679767262,0.0842032313487145,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.327748193109139,0.707003106710478,0.08882506112820439,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.481958370598517,0.769336752455319,0.09637407071565107,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.636653344830873,0.8491350662454064,0.10669398797016671,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.790550673779092,0.9574207765085321,0.11998962657647243,0.04,0.05,0.05,1.0,500000,500000000
1.389e8,5.870197452086399,1.0870401238890681,0.13547288892363896,0.04,0.05,0.05,1.0,500000,500000000
